geo_code,year,naics,jobs
3507017,2016,54,50.0
3507017,2016,55,0.0
3507017,2016,56,70.0
3507017,2016,61,55.0
3507017,2016,62,175.0
3507017,2016,71,55.0
3507017,2016,72,90.0
3507017,2016,81,65.0
3507017,2016,91,60.0
3507021,2016,11,230.0
3507021,2016,21,0.0
3507021,2016,22,35.0
3507021,2016,23,465.0
3507021,2016,31-33,380.0
3507021,2016,41,185.0
3507021,2016,44-45,595.0
3507021,2016,48-49,210.0
3507021,2016,51,30.0
3507021,2016,52,115.0
3507021,2016,53,55.0
3507021,2016,54,200.0
3507021,2016,55,0.0
3507021,2016,56,255.0
3507021,2016,61,335.0
3507021,2016,62,615.0
3507021,2016,71,185.0
3507021,2016,72,370.0
3507021,2016,81,230.0
3507021,2016,91,490.0
3507024,2016,11,0.0
3507024,2016,21,10.0
3507024,2016,22,10.0
3507024,2016,23,195.0
3507024,2016,31-33,195.0
3507024,2016,41,110.0
3507024,2016,44-45,315.0
3507024,2016,48-49,115.0
3507024,2016,51,30.0
3507024,2016,52,55.0
3507024,2016,53,60.0
3507024,2016,54,85.0
3507024,2016,55,0.0
3507024,2016,56,90.0
3507024,2016,61,110.0
3507024,2016,62,270.0
3507024,2016,71,170.0
3507024,2016,72,370.0
3507024,2016,81,100.0
3507024,2016,91,215.0
3507033,2016,11,0.0
3507033,2016,21,0.0
3507033,2016,22,0.0
3507033,2016,23,40.0
3507033,2016,31-33,10.0
3507033,2016,41,0.0
3507033,2016,44-45,60.0
3507033,2016,48-49,0.0
3507033,2016,51,0.0
3507033,2016,52,0.0
3507033,2016,53,15.0
3507033,2016,54,0.0
3507033,2016,55,0.0
3507033,2016,56,10.0
3507033,2016,61,25.0
3507033,2016,62,25.0
3507033,2016,71,10.0
3507033,2016,72,40.0
3507033,2016,81,0.0
3507033,2016,91,10.0
3507040,2016,11,240.0
3507040,2016,21,15.0
3507040,2016,22,40.0
3507040,2016,23,490.0
3507040,2016,31-33,355.0
3507040,2016,41,170.0
3507040,2016,44-45,580.0
3507040,2016,48-49,240.0
3507040,2016,51,140.0
3507040,2016,52,90.0
3507040,2016,53,85.0
3507040,2016,54,240.0
3507040,2016,55,0.0
3507040,2016,56,215.0
3507040,2016,61,295.0
3507040,2016,62,675.0
3507040,2016,71,180.0
3507040,2016,72,355.0
3507040,2016,81,170.0
3507040,2016,91,375.0
3507042,2016,11,120.0
3507042,2016,21,15.0
3507042,2016,22,0.0
3507042,2016,23,140.0
3507042,2016,31-33,205.0
3507042,2016,41,65.0
3507042,2016,44-45,200.0
3507042,2016,48-49,85.0
3507042,2016,51,30.0
3507042,2016,52,40.0
3507042,2016,53,25.0
3507042,2016,54,40.0
3507042,2016,55,0.0
3507042,2016,56,95.0
3507042,2016,61,100.0
3507042,2016,62,225.0
3507042,2016,71,20.0
3507042,2016,72,70.0
3507042,2016,81,55.0
3507042,2016,91,85.0
3507052,2016,11,40.0
3507052,2016,21,0.0
3507052,2016,22,20.0
3507052,2016,23,190.0
3507052,2016,31-33,100.0
3507052,2016,41,80.0
3507052,2016,44-45,205.0
3507052,2016,48-49,55.0
3507052,2016,51,25.0
3507052,2016,52,45.0
3507052,2016,53,25.0
3507052,2016,54,105.0
3507052,2016,55,0.0
3507052,2016,56,55.0
3507052,2016,61,85.0
3507052,2016,62,255.0
3507052,2016,71,25.0
3507052,2016,72,75.0
3507052,2016,81,75.0
3507052,2016,91,140.0
3507065,2016,11,255.0
3507065,2016,21,20.0
3507065,2016,22,50.0
3507065,2016,23,955.0
3507065,2016,31-33,415.0
3507065,2016,41,260.0
3507065,2016,44-45,1105.0
3507065,2016,48-49,375.0
3507065,2016,51,140.0
3507065,2016,52,245.0
3507065,2016,53,165.0
3507065,2016,54,605.0
3507065,2016,55,10.0
3507065,2016,56,415.0
3507065,2016,61,600.0
3507065,2016,62,1025.0
3507065,2016,71,145.0
3507065,2016,72,530.0
3507065,2016,81,435.0
3507065,2016,91,1205.0
3509001,2016,11,35.0
3509001,2016,21,15.0
3509001,2016,22,10.0
3509001,2016,23,220.0
3509001,2016,31-33,145.0
3509001,2016,41,50.0
3509001,2016,44-45,245.0
3509001,2016,48-49,95.0
3509001,2016,51,55.0
3509001,2016,52,15.0
3509001,2016,53,50.0
3509001,2016,54,140.0
3509001,2016,55,0.0
3509001,2016,56,80.0
3509001,2016,61,140.0
3509001,2016,62,255.0
3509001,2016,71,55.0
3509001,2016,72,90.0
3509001,2016,81,110.0
3509001,2016,91,175.0
3509004,2016,11,30.0
3509004,2016,21,10.0
3509004,2016,22,10.0
3509004,2016,23,255.0
3509004,2016,31-33,310.0
3509004,2016,41,120.0
3509004,2016,44-45,645.0
3509004,2016,48-49,175.0
3509004,2016,51,150.0
3509004,2016,52,70.0
3509004,2016,53,55.0
3509004,2016,54,165.0
3509004,2016,55,0.0
3509004,2016,56,140.0
3509004,2016,61,205.0
3509004,2016,62,540.0
3509004,2016,71,60.0
3509004,2016,72,295.0
3509004,2016,81,195.0
3509004,2016,91,185.0
3509010,2016,11,140.0
3509010,2016,21,45.0
3509010,2016,22,50.0
3509010,2016,23,480.0
3509010,2016,31-33,245.0
3509010,2016,41,85.0
3509010,2016,44-45,505.0
3509010,2016,48-49,180.0
3509010,2016,51,60.0
3509010,2016,52,120.0
3509010,2016,53,55.0
3509010,2016,54,190.0
3509010,2016,55,10.0
3509010,2016,56,110.0
3509010,2016,61,300.0
3509010,2016,62,530.0
3509010,2016,71,95.0
3509010,2016,72,260.0
3509010,2016,81,190.0
3509010,2016,91,365.0
3509015,2016,11,145.0
3509015,2016,21,45.0
3509015,2016,22,35.0
3509015,2016,23,395.0
3509015,2016,31-33,205.0
3509015,2016,41,50.0
3509015,2016,44-45,280.0
3509015,2016,48-49,140.0
3509015,2016,51,25.0
3509015,2016,52,80.0
3509015,2016,53,40.0
3509015,2016,54,155.0
3509015,2016,55,0.0
3509015,2016,56,90.0
3509015,2016,61,190.0
3509015,2016,62,345.0
3509015,2016,71,70.0
3509015,2016,72,195.0
3509015,2016,81,180.0
3509015,2016,91,120.0
3509021,2016,11,20.0
3509021,2016,21,10.0
3509021,2016,22,0.0
3509021,2016,23,240.0
3509021,2016,31-33,325.0
3509021,2016,41,80.0
3509021,2016,44-45,320.0
3509021,2016,48-49,85.0
3509021,2016,51,35.0
3509021,2016,52,85.0
3509021,2016,53,25.0
3509021,2016,54,90.0
3509021,2016,55,0.0
3509021,2016,56,95.0
3509021,2016,61,165.0
3509021,2016,62,345.0
3509021,2016,71,35.0
3509021,2016,72,250.0
3509021,2016,81,135.0
3509021,2016,91,175.0
3509024,2016,11,105.0
3509024,2016,21,10.0
3509024,2016,22,35.0
3509024,2016,23,495.0
3509024,2016,31-33,200.0
3509024,2016,41,220.0
3509024,2016,44-45,585.0
3509024,2016,48-49,155.0
3509024,2016,51,90.0
3509024,2016,52,105.0
3509024,2016,53,100.0
3509024,2016,54,340.0
3509024,2016,55,0.0
3509024,2016,56,150.0
3509024,2016,61,310.0
3509024,2016,62,425.0
3509024,2016,71,95.0
3509024,2016,72,150.0
3509024,2016,81,165.0
3509024,2016,91,645.0
3509028,2016,11,0.0
3509028,2016,21,10.0
3509028,2016,22,20.0
3509028,2016,23,490.0
3509028,2016,31-33,475.0
3509028,2016,41,175.0
3509028,2016,44-45,745.0
3509028,2016,48-49,175.0
3509028,2016,51,125.0
3509028,2016,52,185.0
3509028,2016,53,95.0
3509028,2016,54,345.0
3509028,2016,55,10.0
3509028,2016,56,235.0
3509028,2016,61,320.0
3509028,2016,62,685.0
3509028,2016,71,90.0
3509028,2016,72,480.0
3509028,2016,81,275.0
3509028,2016,91,530.0
3509030,2016,11,215.0
3509030,2016,21,20.0
3509030,2016,22,50.0
3509030,2016,23,780.0
3509030,2016,31-33,470.0
3509030,2016,41,165.0
3509030,2016,44-45,855.0
3509030,2016,48-49,185.0
3509030,2016,51,155.0
3509030,2016,52,130.0
3509030,2016,53,100.0
3509030,2016,54,620.0
3509030,2016,55,10.0
3509030,2016,56,340.0
3509030,2016,61,410.0
3509030,2016,62,845.0
3509030,2016,71,150.0
3509030,2016,72,330.0
3509030,2016,81,330.0
3509030,2016,91,745.0
3509039,2016,11,100.0
3509039,2016,21,25.0
3509039,2016,22,35.0
3509039,2016,23,475.0
3509039,2016,31-33,225.0
3509039,2016,41,40.0
3509039,2016,44-45,305.0
3509039,2016,48-49,100.0
3509039,2016,51,70.0
3509039,2016,52,40.0
3509039,2016,53,40.0
3509039,2016,54,110.0
3509039,2016,55,0.0
